Unit,Unit Title,Chinese,Pinyin,English Meaning
1,Name food and drinks,水,shuǐ,water
1,Name food and drinks,咖啡,kāfēi,coffee
1,Name food and drinks,和,hé,and
1,Name food and drinks,茶,chá,tea
1,Name food and drinks,米饭,mǐfàn,cooked rice
1,Name food and drinks,这是,zhè shì,this is
1,Name food and drinks,汤,tāng,soup
1,Name food and drinks,冰,bīng,ice; iced
1,Name food and drinks,你的,nǐ de,your
1,Name food and drinks,粥,zhōu,porridge / congee
1,Name food and drinks,豆腐,dòufu,tofu
1,Name food and drinks,热,rè,hot
2,Talk about nationalities,美国,Měiguó,United States / America
2,Talk about nationalities,中国,Zhōngguó,China
2,Talk about nationalities,日本,Rìběn,Japan
2,Talk about nationalities,韩国,Hánguó,Korea / South Korea
2,Talk about nationalities,人,rén,person; people
2,Talk about nationalities,中国人,Zhōngguórén,Chinese person / Chinese people
2,Talk about nationalities,我,wǒ,I; me
2,Talk about nationalities,你,nǐ,you
2,Talk about nationalities,我是,wǒ shì,I am
2,Talk about nationalities,你是,nǐ shì,you are
2,Talk about nationalities,你呢,nǐ ne,and you? / what about you?
2,Talk about nationalities,这是,zhè shì,this is
2,Talk about nationalities,嗨,hāi,hi
2,Talk about nationalities,对,duì,right; correct; yes
2,Talk about nationalities,对不对,duì bu duì,right or not? / is that correct?
3,Discuss professions,医生,yīshēng,doctor
3,Discuss professions,老师,lǎoshī,teacher
3,Discuss professions,律师,lǜshī,lawyer
3,Discuss professions,学生,xuésheng,student
3,Discuss professions,英语,Yīngyǔ,English language
3,Discuss professions,中文,Zhōngwén,Chinese language
3,Discuss professions,学,xué,to study; learn
3,Discuss professions,说,shuō,to speak; say
3,Discuss professions,对,duì,correct; yes
3,Discuss professions,对不对,duì bu duì,is that right?
3,Discuss professions,你是,nǐ shì,you are
4,Discuss your courses,大学生,dàxuéshēng,university student
4,Discuss your courses,课,kè,class; course; lesson
4,Discuss your courses,喜欢,xǐhuān,to like
4,Discuss your courses,数学,shùxué,mathematics
4,Discuss your courses,他,tā,he; him
4,Discuss your courses,上,shàng,"to attend / take, as in a class"
4,Discuss your courses,音乐,yīnyuè,music
4,Discuss your courses,她,tā,she; her
4,Discuss your courses,不,bù,not; no
5,Use possessive pronouns,儿子,érzi,son
5,Use possessive pronouns,女儿,nǚ'ér,daughter
5,Use possessive pronouns,爸爸,bàba,dad / father
5,Use possessive pronouns,妈妈,māma,mom / mother
5,Use possessive pronouns,老公,lǎogōng,husband
5,Use possessive pronouns,老婆,lǎopo,wife
5,Use possessive pronouns,婆婆,pópo,mother-in-law; husband's mother
5,Use possessive pronouns,公公,gōnggong,father-in-law; husband's father
5,Use possessive pronouns,中学生,zhōngxuéshēng,middle-school student
5,Use possessive pronouns,英国,Yīngguó,United Kingdom / Britain
5,Use possessive pronouns,加拿大,Jiānádà,Canada
5,Use possessive pronouns,的,de,possessive/modifying particle
5,Use possessive pronouns,吗,ma,yes/no question particle
5,Use possessive pronouns,也,yě,also; too
6,Talk about places you visit,饭馆,fànguǎn,restaurant
6,Talk about places you visit,书店,shūdiàn,bookstore
6,Talk about places you visit,超市,chāoshì,supermarket
6,Talk about places you visit,零食,língshí,snacks
6,Talk about places you visit,菜,cài,dish; food; vegetables
6,Talk about places you visit,吃,chī,to eat
